Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-12-11T16:08:10+0100,Money Movement,,,,Regulatory fee adjustment,-0.04,0,,--,0.00,,,,,,,
2021-12-09T16:10:52+0100,Trade,SELL_TO_OPEN,PLBY  211217P00035000,Equity Option,Sold 1 PLBY 12/17/21 Put 35.00 @ 2.36,236.00,1,236.00,-1.00,-0.132,100,PLBY,PLBY,12/17/21,35.0,PUT,188118470
2021-12-09T16:08:29+0100,Trade,BUY_TO_CLOSE,AA    211210P00046000,Equity Option,Bought 1 AA 12/10/21 Put 46.00 @ 0.10,-10.00,1,-10.00,0.00,-0.12,100,AA,AA,12/10/21,46.0,PUT,188117192
2021-12-09T15:45:02+0100,Trade,SELL_TO_OPEN,HIMX  211217P00011000,Equity Option,Sold 1 HIMX 12/17/21 Put 11.00 @ 0.45,45.00,1,45.00,-1.00,-0.132,100,HIMX,HIMX,12/17/21,11.0,PUT,188095352
2021-12-09T15:44:23+0100,Trade,BUY_TO_CLOSE,TLRY  211210P00009000,Equity Option,Bought 1 TLRY 12/10/21 Put 9.00 @ 0.03,-3.00,1,-3.00,0.00,-0.12,100,TLRY,TLRY,12/10/21,9.0,PUT,188094687
2021-12-06T18:02:38+0100,Trade,SELL_TO_OPEN,RKLB  211217P00011000,Equity Option,Sold 1 RKLB 12/17/21 Put 11.00 @ 0.27,27.00,1,27.00,-1.00,-0.132,100,RKLB,RKLB,12/17/21,11.0,PUT,187389346
2021-12-06T15:41:59+0100,Trade,SELL_TO_OPEN,WKHS  211217C00005500,Equity Option,Sold 1 WKHS 12/17/21 Call 5.50 @ 0.12,12.00,1,12.00,-1.00,-0.132,100,WKHS,WKHS,12/17/21,5.5,CALL,187375120
2021-12-06T15:37:03+0100,Trade,SELL_TO_OPEN,FUBO  211217C00019500,Equity Option,Sold 1 FUBO 12/17/21 Call 19.50 @ 0.39,39.00,1,39.00,-1.00,-0.132,100,FUBO,FUBO,12/17/21,19.5,CALL,187364118
2021-12-06T15:32:00+0100,Trade,SELL_TO_OPEN,CLF   211217C00021000,Equity Option,Sold 1 CLF 12/17/21 Call 21.00 @ 0.75,75.00,1,75.00,-1.00,-0.132,100,CLF,CLF,12/17/21,21.0,CALL,187358319
2021-12-04T15:41:00+0100,Money Movement,,,,Regulatory fee adjustment,-0.04,0,,--,0.00,,,,,,,
2021-12-03T23:00:00+0100,Receive Deliver,,CLF   211203P00021000,Equity Option,Removal of option due to assignment,0.00,1,0.00,--,0.00,100,CLF,CLF,12/03/21,21.0,PUT,
2021-12-03T23:00:00+0100,Receive Deliver,BUY_TO_OPEN,CLF,Equity,Buy to Open 100 CLF @ 21.00,"-2,100.00",100,-21.00,--,-5.00,,,,,,,
2021-12-03T23:00:00+0100,Receive Deliver,,FUBO  211203P00019500,Equity Option,Removal of option due to assignment,0.00,1,0.00,--,0.00,100,FUBO,FUBO,12/03/21,19.5,PUT,
2021-12-03T23:00:00+0100,Receive Deliver,BUY_TO_OPEN,FUBO,Equity,Buy to Open 100 FUBO @ 19.50,"-1,950.00",100,-19.50,--,-5.00,,,,,,,
2021-12-03T23:00:00+0100,Receive Deliver,,WKHS  211203P00005500,Equity Option,Removal of option due to assignment,0.00,1,0.00,--,0.00,100,WKHS,WKHS,12/03/21,5.5,PUT,
2021-12-03T23:00:00+0100,Receive Deliver,BUY_TO_OPEN,WKHS,Equity,Buy to Open 100 WKHS @ 5.50,-550.00,100,-5.50,--,-5.00,,,,,,,
2021-12-02T21:18:52+0100,Trade,SELL_TO_OPEN,TLRY  211210P00009000,Equity Option,Sold 1 TLRY 12/10/21 Put 9.00 @ 0.33,33.00,1,33.00,-1.00,-0.132,100,TLRY,TLRY,12/10/21,9.0,PUT,186997370
2021-11-30T16:00:51+0100,Trade,SELL_TO_OPEN,AA    211210P00046000,Equity Option,Sold 1 AA 12/10/21 Put 46.00 @ 1.15,115.00,1,115.00,-1.00,-0.132,100,AA,AA,12/10/21,46.0,PUT,186261231
2021-11-29T21:18:54+0100,Trade,SELL_TO_OPEN,FUBO  211203P00019500,Equity Option,Sold 1 FUBO 12/03/21 Put 19.50 @ 0.30,30.00,1,30.00,-1.00,-0.132,100,FUBO,FUBO,12/03/21,19.5,PUT,186167218
2021-11-29T15:41:31+0100,Trade,SELL_TO_OPEN,CLF   211203P00021000,Equity Option,Sold 1 CLF 12/03/21 Put 21.00 @ 0.35,35.00,1,35.00,-1.00,-0.132,100,CLF,CLF,12/03/21,21.0,PUT,185975701
2021-11-29T15:39:33+0100,Trade,SELL_TO_OPEN,WKHS  211203P00005500,Equity Option,Sold 1 WKHS 12/03/21 Put 5.50 @ 0.16,16.00,1,16.00,-1.00,-0.132,100,WKHS,WKHS,12/03/21,5.5,PUT,185972738
2021-11-26T23:00:00+0100,Money Movement,,,,Wire Funds Received,"11,219.00",0,,--,0.00,,,,,,,
